"region","temperature_C","rainfall_mm","irrigation","fertiliser_kgha","chem_weed_control_kgha","soil_organic_matter","seed_brand","tractor_brand"
"Free State",30.46,475.4,"Rainfed",163.75,110.42,3.266,"Dekalb","John Deere"
"Free State",23.88,609.3,"Rainfed",180.16,143.99,3.387,"Dekalb","John Deere"
"Free State",26.25,479.9,"Rainfed",118.78,260.14,3.393,"Pioneer","John Deere"
"Free State",23.61,997.9,"Rainfed",165.34,100.42,3.86,"Pioneer","Case"
"Mpumalanga",25.05,519.3,"Rainfed",121.09,304.71,3.25,"Pioneer","John Deere"
"Free State",19.38,426.1,"Rainfed",180.57,210.58,3.991,"Pannar","John Deere"
"Free State",33.28,683.8,"Rainfed",77.09,240.41,3.416,"Pioneer","John Deere"
"Mpumalanga",20.19,939.5,"Rainfed",185.6,50.15,3.345,"Dekalb","New Holland"
"Mpumalanga",17.62,560.8,"Rainfed",125.55,126.13,3.305,"Pioneer","John Deere"
"Free State",22.6,629.3,"Rainfed",245.09,70.89,3.56,"Pannar","John Deere"
"Free State",24.59,380.6,"Irrigated",71.17,190.4,3.998,"Dekalb","Case"
"North West",36.12,700.7,"Rainfed",167.48,233.9,3.39,"Pannar","New Holland"
"North West",32.56,433.5,"Rainfed",149.76,103.34,3.419,"Pannar","John Deere"
"Free State",24.57,287.4,"Rainfed",245.22,108.31,3.527,"Pannar","John Deere"
"Free State",18.44,305.2,"Rainfed",84.1,66.18,3.51,"Pioneer","John Deere"
"Mpumalanga",19.4,864.5,"Rainfed",130.3,193.1,3.315,"Dekalb","John Deere"
"Free State",23.35,661.2,"Rainfed",222.53,260.05,3.8,"Dekalb","John Deere"
"Free State",34.21,478.4,"Rainfed",213.37,63.92,3.076,"Dekalb","John Deere"
"North West",18.7,483.8,"Rainfed",191.35,60.8,3.212,"Pannar","Case"
"Free State",28.52,953.2,"Rainfed",185.93,225.87,3.385,"Pannar","John Deere"
"Free State",21.89,605.6,"Rainfed",81,247.33,3.421,"Pannar","John Deere"
"North West",36.33,302.5,"Rainfed",236.08,160.3,3.737,"Pioneer","John Deere"
"Mpumalanga",18.58,942.7,"Rainfed",180.27,151.36,3.36,"Pioneer","John Deere"
"Free State",24.57,888,"Rainfed",76.12,103.17,3.466,"Pioneer","John Deere"
"Mpumalanga",18.7,744.9,"Rainfed",152.81,158,3.43,"Pioneer","Case"
"Mpumalanga",24.71,671,"Rainfed",246.6,111.21,3.98,"Dekalb","New Holland"
"Free State",29.94,686.6,"Rainfed",221.77,336.66,3.915,"Dekalb","John Deere"
"Free State",31.8,611.1,"Rainfed",125.81,111.35,3.149,"Pioneer","John Deere"
"Mpumalanga",24.39,800.6,"Rainfed",241.81,33.77,3.643,"Pioneer","John Deere"
"Mpumalanga",27.53,1012.9,"Rainfed",138.97,169.7,3.13,"Pioneer","John Deere"
"Mpumalanga",25.74,545.7,"Rainfed",193.45,77.8,3.235,"Pannar","John Deere"
"North West",27.34,777.5,"Irrigated",243.97,195.85,3.324,"Dekalb","New Holland"
"Free State",25.91,731,"Rainfed",194.15,68.43,3.246,"Pannar","John Deere"
"Free State",20.11,291.3,"Rainfed",124.67,121.18,3.552,"Pioneer","John Deere"
"Free State",23.26,540.1,"Rainfed",232.98,161.65,3.399,"Pannar","New Holland"
"Free State",28.88,1093.2,"Rainfed",308,124.53,3.612,"Pannar","John Deere"
"Free State",26.17,683.5,"Rainfed",110.87,57.28,3.864,"Pannar","John Deere"
"Free State",25.83,516.8,"Rainfed",152.24,72.13,3.832,"Pannar","John Deere"
"North West",22.81,587.4,"Rainfed",251.88,93.19,2.878,"Pioneer","Case"
"Free State",21.58,439.6,"Rainfed",114.56,279.55,3.414,"Pannar","John Deere"
"Free State",20.94,307.8,"Irrigated",79.27,128.5,3.624,"Dekalb","John Deere"
"Mpumalanga",23.19,946.8,"Rainfed",133.33,239.45,3.879,"Dekalb","Case"
"Free State",20.04,615.5,"Rainfed",258.69,147.2,3.341,"Pannar","Case"
"North West",30.81,536.6,"Rainfed",92.26,109.15,3.502,"Pioneer","John Deere"
"Free State",19.53,910,"Rainfed",148.03,224.22,4.03,"Pioneer","John Deere"
"Free State",31.31,373,"Rainfed",247.46,81.7,3.506,"Pannar","John Deere"
"Mpumalanga",23.38,803.6,"Rainfed",167.8,262.31,4.079,"Dekalb","New Holland"
"North West",24.49,466.4,"Rainfed",209.25,204.14,2.817,"Dekalb","John Deere"
"Mpumalanga",22.72,1323.9,"Irrigated",327.77,157.73,4.175,"Pannar","John Deere"
"Free State",22.59,792.7,"Rainfed",241.11,175.42,2.806,"Pannar","New Holland"
"Free State",25.48,414.5,"Rainfed",211.42,148.79,3.813,"Pannar","Case"
"Mpumalanga",22.73,566.5,"Rainfed",202.61,111.46,3.817,"Dekalb","John Deere"
"Free State",19.94,406.4,"Rainfed",100.58,116.7,3.38,"Pannar","New Holland"
"Free State",20.83,602.9,"Rainfed",234.89,103.97,3.409,"Pioneer","Case"
"North West",29.5,319.4,"Rainfed",207.06,235.55,3.556,"Pannar","Case"
"Free State",30.56,275.1,"Rainfed",195.23,177.37,3.492,"Dekalb","John Deere"
"Free State",28.34,451.1,"Rainfed",168.53,129.52,3.537,"Dekalb","John Deere"
"Mpumalanga",20.13,921.2,"Rainfed",95.89,81.99,3.934,"Dekalb","Case"
"Free State",27.3,319.2,"Rainfed",175.57,156.66,3.526,"Pioneer","John Deere"
"Free State",23.81,612.7,"Rainfed",280.24,86.95,2.878,"Pannar","John Deere"
"Free State",25.21,533.6,"Irrigated",126.86,93.14,3.61,"Dekalb","John Deere"
"Free State",25.04,570.9,"Irrigated",76.57,335.99,3.392,"Pioneer","John Deere"
"Free State",34.3,592.1,"Rainfed",358.96,73.15,3.708,"Pioneer","New Holland"
"Free State",19.26,766.8,"Rainfed",129.44,91.85,3.267,"Dekalb","John Deere"
"North West",28.5,240.7,"Rainfed",266.93,105.04,3.371,"Dekalb","Case"
"Free State",16.88,524.8,"Rainfed",214.39,104.34,3.055,"Pioneer","John Deere"
"Free State",26.36,629.9,"Irrigated",332.51,82.48,3.044,"Pioneer","Case"
"North West",33.48,360.9,"Irrigated",161.57,125.06,2.914,"Dekalb","John Deere"
"Mpumalanga",26.34,720.5,"Rainfed",144.79,85.74,3.505,"Pioneer","John Deere"
"Free State",16.3,451,"Rainfed",343.19,246.66,2.69,"Dekalb","John Deere"
"Free State",25.65,622.7,"Rainfed",410.93,143.59,3.868,"Dekalb","Case"
"North West",35.97,758.9,"Rainfed",188.3,198.95,3.268,"Pannar","John Deere"
"Free State",22.34,433.7,"Irrigated",176.79,72.84,3.492,"Pioneer","John Deere"
"Mpumalanga",21.36,1125.1,"Rainfed",225.43,135.06,3.912,"Pioneer","John Deere"
"Free State",23.85,541,"Rainfed",123.63,173.17,3.581,"Dekalb","John Deere"
"Mpumalanga",23.1,774.5,"Rainfed",203.2,141.98,3.641,"Dekalb","John Deere"
"Free State",26.66,561.2,"Rainfed",108.06,136.99,3.291,"Pioneer","John Deere"
"North West",34.59,277.5,"Rainfed",144.97,85.89,3.037,"Dekalb","New Holland"
"Free State",23.62,737.3,"Rainfed",230.51,102.83,3.702,"Pannar","John Deere"
"Free State",24.79,775.1,"Rainfed",118.97,113.57,3.447,"Pannar","New Holland"
"Free State",33.95,828.6,"Rainfed",236.06,95.2,3.477,"Pannar","John Deere"
"Free State",25.72,480.2,"Rainfed",203.58,190.79,3.231,"Pioneer","John Deere"
"North West",28.94,777.9,"Rainfed",302.34,296.83,3.325,"Pannar","John Deere"
"Free State",18.63,608.5,"Rainfed",412.53,243.69,2.83,"Pannar","New Holland"
"Mpumalanga",22.01,692.5,"Rainfed",128.84,163.99,3.016,"Pioneer","John Deere"
"Mpumalanga",21.34,657.1,"Rainfed",194.16,128.97,3.04,"Pioneer","John Deere"
"Free State",23.96,781,"Irrigated",318.81,175.53,3.458,"Pioneer","John Deere"
"Free State",21.7,553.7,"Irrigated",178.99,95.78,3.181,"Pannar","John Deere"
"Free State",21.25,539.4,"Rainfed",124.62,152.89,3.618,"Pannar","Case"
"Free State",21.12,560.8,"Rainfed",107.69,146.35,3.514,"Pannar","Case"
"Free State",23.14,643.5,"Rainfed",298.1,48,3.353,"Pannar","John Deere"
"North West",34.84,200.2,"Irrigated",495.96,315.45,2.936,"Dekalb","John Deere"
"North West",33.25,605.3,"Irrigated",105.44,75.27,3.259,"Pannar","New Holland"
"Free State",22.56,686,"Rainfed",172.39,42.37,3.777,"Pannar","John Deere"
"North West",19.57,539,"Rainfed",84.53,135.91,3.651,"Pioneer","John Deere"
"Free State",20.62,628.1,"Rainfed",169.42,142.57,3.418,"Dekalb","New Holland"
"Free State",22.17,573.5,"Rainfed",144.37,135.45,2.827,"Pioneer","John Deere"
"Free State",24.41,505.1,"Irrigated",163.65,144.68,3.34,"Dekalb","New Holland"
"Mpumalanga",20.01,822.8,"Rainfed",500,80.33,2.654,"Pioneer","John Deere"
"Free State",32.03,391,"Rainfed",90.83,176.82,3.978,"Pioneer","New Holland"
"Free State",22.91,579.8,"Rainfed",197.61,250.88,3.508,"Pioneer","John Deere"
"Mpumalanga",18.36,1837.6,"Rainfed",358.14,93.67,4.006,"Pannar","New Holland"
"Free State",23.43,920.5,"Rainfed",126.9,155.69,3.474,"Pannar","John Deere"
"Mpumalanga",18.98,893.2,"Rainfed",116.16,120.53,4.164,"Dekalb","New Holland"
"Free State",24.62,429.1,"Rainfed",167.89,132.31,3.208,"Pioneer","John Deere"
"Free State",24.93,569.4,"Rainfed",285.72,209.6,3.741,"Pannar","John Deere"
"Free State",25.42,400.8,"Rainfed",142.19,153.76,3.469,"Dekalb","Case"
"Free State",17.51,512.5,"Rainfed",106.41,320.42,3.731,"Dekalb","John Deere"
"North West",29.1,374.1,"Rainfed",169.49,117.29,3.058,"Pannar","Case"
"Free State",25.24,675,"Rainfed",69.83,262.41,4.169,"Dekalb","John Deere"
"Free State",18.32,390.2,"Rainfed",87.92,111.04,3.59,"Dekalb","John Deere"
"Free State",27.82,580.3,"Rainfed",260.89,122.66,3.33,"Pannar","John Deere"
"Free State",27.14,481.5,"Rainfed",199.86,117.56,3.117,"Pioneer","John Deere"
"Mpumalanga",28.9,772.6,"Rainfed",65.35,154.46,3.034,"Dekalb","John Deere"
"Free State",24.63,452.7,"Rainfed",213.8,167.2,2.935,"Dekalb","New Holland"
"Free State",24.19,508.1,"Rainfed",61.82,144.97,2.971,"Pannar","Case"
"North West",28.48,479.2,"Rainfed",136.05,177.35,3.479,"Dekalb","John Deere"
"Mpumalanga",22.21,683.4,"Rainfed",186.79,96.07,3.847,"Pannar","New Holland"
"Free State",16.61,774.9,"Rainfed",89.69,122.25,3.646,"Pannar","John Deere"
"Free State",17.32,543.2,"Irrigated",281.74,181.56,2.937,"Pannar","New Holland"
"Free State",23.69,623.7,"Rainfed",275.47,215.49,3.525,"Pioneer","John Deere"
"North West",25.09,701.1,"Rainfed",123.51,157.95,3.95,"Pioneer","John Deere"
"North West",28.27,569.8,"Rainfed",264.75,186.23,3.781,"Pannar","Case"
"Free State",15.56,772.5,"Irrigated",178.8,197.36,4.097,"Pioneer","John Deere"
"Free State",18.01,476.8,"Irrigated",216.77,178.14,3.634,"Pannar","John Deere"
"North West",22.49,685.2,"Rainfed",218.7,123.08,2.522,"Pioneer","New Holland"
"Free State",27.94,660.5,"Rainfed",95.36,126.36,3.678,"Dekalb","New Holland"
"Mpumalanga",18.7,945.4,"Rainfed",69.59,179.15,3.611,"Pannar","John Deere"
"Free State",20.8,458.1,"Rainfed",419.53,111.05,2.98,"Pannar","John Deere"
"Free State",24.32,771.6,"Rainfed",181.47,128.19,3.47,"Pioneer","Case"
"Free State",22.71,462.6,"Rainfed",192.93,130.5,3.287,"Dekalb","John Deere"
"Free State",24.59,700.3,"Rainfed",99.12,67.21,3.369,"Pannar","New Holland"
"Free State",33.22,507.8,"Rainfed",266.05,157.66,3.593,"Pannar","John Deere"
"Free State",19.5,507,"Rainfed",359.18,175.06,3.327,"Pannar","John Deere"
"Mpumalanga",21.08,694.6,"Rainfed",314.67,132.29,3.32,"Dekalb","New Holland"
"Free State",21.93,821.2,"Rainfed",69.66,301.41,3.086,"Pannar","Case"
"North West",35.56,452.6,"Rainfed",105.75,125.72,3.489,"Pioneer","John Deere"
"Mpumalanga",19.69,470.2,"Rainfed",171.46,175.75,3.666,"Pannar","John Deere"
"Mpumalanga",21.75,911.1,"Rainfed",221.12,172.18,3.704,"Pannar","John Deere"
"Free State",27.15,1070.1,"Rainfed",130.57,192.56,3.882,"Pannar","New Holland"
"Free State",19.77,487.5,"Rainfed",114.24,163.62,2.793,"Pioneer","John Deere"
"Mpumalanga",26.97,769.2,"Rainfed",181.34,124.86,3.509,"Pioneer","New Holland"
"Free State",26.7,670.3,"Rainfed",110.23,174.54,3.091,"Pioneer","John Deere"
"Free State",19.7,684.8,"Rainfed",391.68,152.12,3.703,"Dekalb","John Deere"
"Free State",25.82,481.3,"Irrigated",75.78,151.44,3.502,"Pannar","New Holland"
"Free State",23.15,470.3,"Rainfed",204.15,187.08,3.167,"Dekalb","Case"
"Free State",25.25,390.2,"Rainfed",70.47,191.54,3.359,"Pannar","John Deere"
"North West",27.55,506.6,"Rainfed",133.35,135.41,3.894,"Pannar","New Holland"
"Mpumalanga",25.21,835.8,"Rainfed",308.91,114.37,3.35,"Pannar","John Deere"
"Mpumalanga",17.95,625,"Rainfed",264.83,245.11,3.004,"Pioneer","Case"
"Free State",21.91,271.5,"Rainfed",90.78,139.16,3.801,"Pannar","Case"
"Free State",23,502.9,"Rainfed",87.89,115.02,3.842,"Pioneer","John Deere"
"North West",23.02,325.1,"Rainfed",168.59,89.31,3.293,"Pioneer","John Deere"
"Free State",19.84,544.8,"Rainfed",109.75,153.23,4.003,"Pioneer","John Deere"
"Free State",23.93,725.2,"Rainfed",195.41,161.41,3.457,"Pannar","John Deere"
"Free State",23.47,380.1,"Rainfed",108.32,82.02,3.096,"Dekalb","John Deere"
"Free State",13.8,529.7,"Rainfed",83.03,74.71,3.437,"Pannar","Case"
"Free State",28.16,496.7,"Rainfed",137.03,147.51,3.546,"Pannar","John Deere"
"Free State",25,611.9,"Rainfed",97.81,94.5,3.662,"Pioneer","John Deere"
"Mpumalanga",29.25,1100.4,"Rainfed",260.91,247.33,3.635,"Pioneer","Case"
"Free State",26.74,465.5,"Rainfed",142.69,83.15,3.844,"Pioneer","John Deere"
"Mpumalanga",20.66,697.2,"Rainfed",161.86,68.35,3.587,"Pannar","John Deere"
"Free State",35.19,397.5,"Rainfed",295.59,131.78,3.589,"Dekalb","Case"
"Mpumalanga",30.5,419.4,"Rainfed",361.99,167.31,3.762,"Pioneer","New Holland"
"Free State",19.13,757.2,"Rainfed",160.83,145.73,3.479,"Pannar","New Holland"
"Mpumalanga",23.41,884.1,"Rainfed",189.49,128.83,3.286,"Pioneer","Case"
"Mpumalanga",21.37,1013.6,"Irrigated",286.76,160.82,3.458,"Pannar","John Deere"
"Free State",24.75,494.2,"Rainfed",152.74,96.65,3.083,"Pioneer","John Deere"
"Mpumalanga",22.68,703.2,"Rainfed",105.61,150.34,3.525,"Dekalb","Case"
"Free State",18.95,392.5,"Irrigated",250.87,93.88,3.648,"Pannar","John Deere"
"Free State",25.14,439,"Rainfed",86.1,95.11,3.163,"Dekalb","Case"
"Mpumalanga",27.25,793.5,"Rainfed",148.22,142.52,3.239,"Dekalb","John Deere"
"Free State",23.34,512.1,"Rainfed",138.67,163.16,3.158,"Pioneer","Case"
"Mpumalanga",21.51,848.1,"Rainfed",131.75,92.42,3.515,"Pannar","New Holland"
"Free State",29.59,710.6,"Rainfed",51.1,68.28,3.909,"Pannar","John Deere"
"Mpumalanga",24.7,873.4,"Rainfed",128.21,86.19,3.328,"Dekalb","John Deere"
"North West",19.76,590.9,"Rainfed",281.59,55.94,3.323,"Pannar","Case"
"Free State",24.91,630.3,"Rainfed",134.8,143.94,3.487,"Pannar","John Deere"
"Free State",30.61,497.2,"Rainfed",126.47,176.21,3.168,"Dekalb","John Deere"
"Mpumalanga",26.25,930.2,"Rainfed",123.97,302.46,3.821,"Pannar","John Deere"
"Free State",25.68,748.8,"Rainfed",113.46,91.37,3.412,"Pioneer","John Deere"
"Mpumalanga",24.16,537.7,"Rainfed",175.01,110.21,3.829,"Pioneer","John Deere"
"North West",22.02,340.3,"Rainfed",211.56,129.54,3.672,"Pannar","John Deere"
"Free State",25.2,630,"Rainfed",304.27,151.05,3.732,"Pannar","Case"
"Free State",20.18,564.5,"Rainfed",84.6,95.37,3.064,"Pioneer","New Holland"
"Mpumalanga",20.63,911.1,"Rainfed",194.55,205.33,3.032,"Dekalb","Case"
"Free State",27.74,398.8,"Rainfed",154.13,114.85,3.481,"Dekalb","New Holland"
"North West",22.32,568.3,"Irrigated",185.67,210.49,3.392,"Pannar","John Deere"
"Free State",25.07,680.5,"Rainfed",106.14,65.95,3.397,"Pioneer","John Deere"
"Free State",25.71,641.7,"Rainfed",167.7,126.48,3.462,"Dekalb","John Deere"
"Mpumalanga",22.16,573.3,"Rainfed",100.79,158.48,3.981,"Pannar","John Deere"
"Mpumalanga",27.47,542.4,"Rainfed",217.66,109.25,3.338,"Dekalb","New Holland"
"Free State",19.91,537.7,"Rainfed",110.07,109.91,3.321,"Dekalb","John Deere"
"Free State",26.42,262.1,"Rainfed",168.98,102.42,3.944,"Pannar","John Deere"
"Free State",23.64,416.7,"Rainfed",66.66,142.31,3.548,"Dekalb","Case"
"Free State",22.96,441.3,"Rainfed",188.98,238.04,3.558,"Pannar","John Deere"
"Free State",25.86,445.7,"Rainfed",263.26,86.27,3.086,"Pioneer","New Holland"
"Free State",19.92,424.7,"Rainfed",227.72,130.08,3.721,"Pannar","John Deere"
"Free State",18.75,532.3,"Rainfed",257.29,109.72,3.861,"Pioneer","Case"
"Free State",22.02,535.7,"Rainfed",92.49,254.53,3.712,"Pioneer","John Deere"
"North West",36.76,745.2,"Rainfed",153.08,319.83,3.114,"Pioneer","John Deere"
"Free State",24.22,868.3,"Rainfed",159.69,169.76,3.954,"Pannar","New Holland"
"Free State",25.33,465.8,"Rainfed",223.32,139.99,3.389,"Pannar","New Holland"
"Free State",23.24,695.7,"Rainfed",153.18,249.28,4.058,"Dekalb","Case"
"North West",30.35,611.3,"Irrigated",150.89,110.74,3.611,"Dekalb","John Deere"
"Free State",20.19,293.8,"Rainfed",335.4,132.54,3.608,"Pannar","John Deere"
"Mpumalanga",25.47,1155.1,"Irrigated",261.39,216.65,4.142,"Pioneer","John Deere"
"Free State",26.34,640.6,"Irrigated",78.03,142.46,3.853,"Dekalb","John Deere"
"Free State",20.77,585.1,"Irrigated",139.7,110.07,3.645,"Pannar","Case"
"Mpumalanga",22.16,1001.4,"Rainfed",107.94,147.56,3.303,"Pannar","Case"
"Free State",26.87,352.9,"Rainfed",500,111.43,3.733,"Pioneer","Case"
"Mpumalanga",23.67,688.7,"Rainfed",133.35,311.73,3.735,"Pioneer","John Deere"
"Free State",29.93,287.7,"Rainfed",267.8,114.67,3.291,"Pannar","New Holland"
"Free State",21.55,609.1,"Rainfed",171.35,206.38,3.44,"Pioneer","John Deere"
"Free State",28.46,536.2,"Rainfed",172.26,136,3.39,"Dekalb","New Holland"
"Free State",28.15,326,"Rainfed",202.98,245.34,2.962,"Pioneer","John Deere"
"Free State",23.35,435.5,"Rainfed",154.82,205.46,3.687,"Dekalb","New Holland"
"Mpumalanga",19.07,631.6,"Rainfed",234.27,101.92,3.071,"Pioneer","New Holland"
"North West",22.55,785.9,"Rainfed",208.62,154.06,3.622,"Pioneer","New Holland"
"Free State",25.83,489.1,"Rainfed",80.43,127.41,3.015,"Pannar","John Deere"
"North West",27.64,736,"Irrigated",129.92,169.91,3.78,"Dekalb","John Deere"
"Free State",31.12,498.5,"Rainfed",131.71,133.16,3.705,"Dekalb","New Holland"
"North West",30.68,635.8,"Rainfed",132.68,167.48,4.034,"Pioneer","John Deere"
"Mpumalanga",20.88,501,"Rainfed",258.56,129.05,3.143,"Pioneer","John Deere"
"Free State",19.9,759.9,"Rainfed",309.26,207.74,3.812,"Pannar","John Deere"
"Mpumalanga",20.25,779.6,"Rainfed",111.21,156.2,3.462,"Pannar","John Deere"
"Free State",25.37,518.8,"Rainfed",207,75.8,3.548,"Pioneer","John Deere"
"Mpumalanga",20.65,938.3,"Rainfed",100.1,134.68,3.415,"Dekalb","John Deere"
"Free State",26.06,405,"Rainfed",129.84,117.06,3.595,"Dekalb","Case"
"Mpumalanga",21,439.5,"Rainfed",186.71,223.11,3.16,"Dekalb","John Deere"
"Free State",23.58,667.2,"Rainfed",151.81,81.53,3.233,"Pioneer","John Deere"
"Free State",21.08,733.4,"Rainfed",123.21,54.84,3.765,"Pioneer","John Deere"
"Mpumalanga",27.72,823.4,"Rainfed",96.44,167.29,2.635,"Dekalb","New Holland"
"Free State",25.33,391,"Rainfed",144.09,206.49,3.39,"Dekalb","New Holland"
"Mpumalanga",22.69,989.9,"Rainfed",168.19,166.19,3.402,"Pioneer","New Holland"
"Free State",17.23,524.7,"Rainfed",208.83,247.79,3.739,"Dekalb","John Deere"
"Mpumalanga",23.98,874,"Irrigated",113.41,202.85,3.649,"Dekalb","John Deere"
"North West",22.88,722.4,"Rainfed",211.02,89.94,3.105,"Pioneer","John Deere"
"Free State",20.43,632.8,"Rainfed",100.35,205.44,3.957,"Dekalb","New Holland"
"North West",32.59,476.1,"Irrigated",130.45,104.67,3.768,"Pioneer","John Deere"
"Mpumalanga",20.64,975.8,"Rainfed",199.15,221.99,3.974,"Pannar","New Holland"
"Free State",17.01,636.1,"Irrigated",122.58,211.21,3.234,"Dekalb","John Deere"
"Free State",31.08,601.2,"Rainfed",118.14,132.96,4.039,"Pioneer","Case"
"Free State",14.49,362.6,"Rainfed",161.21,218.36,3.873,"Pioneer","John Deere"
"Free State",26.29,537.6,"Rainfed",166.98,120.69,3.828,"Dekalb","John Deere"
"North West",33.09,383,"Rainfed",244.59,212.91,3.078,"Pioneer","Case"
"Free State",21.48,475.2,"Rainfed",148.97,48.83,3.474,"Dekalb","John Deere"
"Free State",25.78,988.6,"Rainfed",79.9,85.24,3.58,"Pioneer","John Deere"
"Mpumalanga",23.32,1043.7,"Rainfed",124.51,145.13,3.127,"Dekalb","John Deere"
"Free State",28.16,497.9,"Rainfed",125.86,108.36,3.41,"Pannar","John Deere"
"Free State",25.94,441.2,"Rainfed",110.72,41.59,3.707,"Dekalb","Case"
"Free State",23.02,652,"Irrigated",188.58,93.82,3.599,"Pioneer","John Deere"
"Free State",27.66,553.6,"Rainfed",475.8,278.25,3.55,"Pannar","John Deere"
"North West",32,205.7,"Irrigated",230.44,79.49,3.863,"Pioneer","New Holland"
"Mpumalanga",19.19,574.5,"Rainfed",154.02,146.38,3.286,"Pioneer","Case"
"Free State",18.4,382.2,"Rainfed",203.7,109.17,3.736,"Pannar","John Deere"
"Mpumalanga",22.48,1155.1,"Rainfed",303.5,137.04,3.871,"Dekalb","John Deere"
"Mpumalanga",21.18,969.5,"Rainfed",144.25,125.64,3.148,"Pannar","Case"
"Free State",20.06,552,"Rainfed",218.1,127.97,2.91,"Pannar","John Deere"
"Mpumalanga",22.25,674.3,"Rainfed",208.8,128.73,3.797,"Pannar","John Deere"
"Free State",18.72,901.8,"Rainfed",156.14,51.72,3.468,"Dekalb","John Deere"
"North West",28.81,401.1,"Rainfed",168.48,135.96,4.178,"Pioneer","New Holland"
"Free State",21.5,817.2,"Rainfed",216.94,143.9,3.62,"Pannar","New Holland"
"North West",32.79,750.6,"Rainfed",162.66,163.23,3.466,"Dekalb","New Holland"
"Free State",33.7,596,"Rainfed",142.41,249.39,2.938,"Pioneer","New Holland"
"Free State",20.34,653.5,"Rainfed",127.82,138.16,3.272,"Dekalb","John Deere"
"North West",33.29,911.6,"Rainfed",186.11,153.29,3.073,"Pannar","John Deere"
"Mpumalanga",24.48,891.9,"Rainfed",160.69,72.13,4.374,"Pioneer","John Deere"
"Free State",23.72,550,"Rainfed",140.47,142.07,3.108,"Dekalb","John Deere"
"Free State",22.19,531.6,"Irrigated",177.29,68.15,3.683,"Pannar","John Deere"
"Free State",30.3,307.6,"Rainfed",118.46,330.04,3.847,"Pioneer","John Deere"
"Free State",15.98,663.7,"Irrigated",117,116.01,3.436,"Dekalb","John Deere"
"North West",24.78,648.2,"Rainfed",294.71,158.93,3.54,"Dekalb","Case"
"Mpumalanga",17.69,1273.9,"Rainfed",113.14,165.34,3.256,"Pioneer","John Deere"
"North West",34.98,635.3,"Rainfed",188.09,76.08,3.454,"Pioneer","John Deere"
"Free State",23.24,336.6,"Rainfed",109.04,167.23,3.367,"Pioneer","New Holland"
"North West",25.38,513,"Rainfed",149.14,84.43,3.256,"Dekalb","John Deere"
"Free State",36.74,693,"Rainfed",194.14,166.61,3.633,"Pannar","John Deere"
"Free State",23.8,346.6,"Rainfed",107.15,103.28,3.224,"Dekalb","John Deere"
"Mpumalanga",20.67,642.6,"Rainfed",211.76,100.52,3.049,"Dekalb","John Deere"
"North West",29.5,539.6,"Rainfed",180.51,163.36,3.716,"Dekalb","John Deere"
"Free State",17.73,722.8,"Rainfed",143.8,159.94,3.592,"Pannar","New Holland"
"Free State",25.96,311.5,"Rainfed",182.55,121.71,2.975,"Pannar","Case"
"Free State",23.62,636.6,"Irrigated",169.81,98.03,3.289,"Dekalb","John Deere"
"North West",30.34,528.5,"Rainfed",115.16,148.15,3.72,"Pioneer","John Deere"
"Free State",20.07,435.8,"Rainfed",90.89,133.02,3.197,"Dekalb","John Deere"
"Free State",19.91,456.3,"Irrigated",172.07,208.1,3.731,"Pannar","John Deere"
"North West",24.53,437.5,"Rainfed",107.37,102.67,3.381,"Pioneer","Case"
"Free State",20.93,560.7,"Rainfed",162.04,128.7,3.079,"Dekalb","John Deere"
"Free State",29.2,864.6,"Rainfed",81.7,372.44,3.64,"Pannar","New Holland"
"North West",35.9,764.2,"Rainfed",110.87,76.88,2.717,"Pioneer","John Deere"
"Free State",23.37,742.8,"Rainfed",184.63,156.48,3.317,"Pioneer","New Holland"
"Free State",22.56,484.2,"Rainfed",256.38,163.11,3.465,"Pioneer","Case"
"Mpumalanga",21.01,511.1,"Rainfed",176.74,111.37,3.575,"Dekalb","Case"
"Free State",24.28,496.4,"Rainfed",107.84,99.2,3.562,"Pioneer","John Deere"
"Free State",24.39,545.7,"Rainfed",137.89,71.19,3.524,"Pannar","John Deere"
"Free State",25.16,1001.1,"Rainfed",261.69,72.45,3.942,"Pioneer","New Holland"
"Mpumalanga",19.76,501.5,"Rainfed",205.01,120.9,4.018,"Pioneer","John Deere"
"Free State",20.61,429,"Rainfed",229.75,237.03,4.043,"Pioneer","John Deere"
"Mpumalanga",25.59,769.1,"Rainfed",251.14,139.21,3.111,"Pannar","John Deere"
"Free State",21.81,336,"Irrigated",193.08,269.95,3.239,"Dekalb","John Deere"
"Free State",25.21,361.5,"Rainfed",263.44,104.04,3.092,"Pannar","Case"
"Mpumalanga",21.83,538.9,"Irrigated",108.81,175.73,3.373,"Pannar","John Deere"
"Free State",20.17,632.8,"Rainfed",186.8,143.64,3.605,"Pioneer","John Deere"
"Free State",26.36,512.2,"Rainfed",142.41,159.67,3.535,"Pannar","John Deere"
"North West",28.87,525.9,"Rainfed",179.2,148.9,3.401,"Dekalb","New Holland"
"Free State",29.6,413.3,"Rainfed",288.75,191.97,3.411,"Pioneer","Case"
"Mpumalanga",22.35,703.5,"Rainfed",203.72,135.46,3.386,"Dekalb","John Deere"
"North West",26.34,499.1,"Rainfed",125.9,208.93,3.219,"Pannar","New Holland"
"Mpumalanga",22.83,898.3,"Rainfed",141.76,168.97,3.307,"Pioneer","New Holland"
