"region","rainfall_mm","temperature_C","fertiliser_kgha","chem_weed_control_kgha","irrigation","soil_organic_matter","seed_brand","tractor_brand","yield_tha"
"Free State",510.5,24.7,124.09,200.7,"Rainfed",3.455,"Dekalb","John Deere",6.48814037120998
"Free State",515.6,27.63,114.91,212.11,"Rainfed",3.358,"Dekalb","Case",4.97346363261571
"Free State",716.3,21.85,233.56,190.42,"Rainfed",3.538,"Dekalb","John Deere",8.56881513628055
"Free State",529.4,25.78,168.7,211.3,"Rainfed",3.653,"Dekalb","New Holland",5.75792648111485
"North West",467.2,33.58,187.76,263.74,"Irrigated",3.517,"Pannar","Case",4.96903803143181
"Free State",468.1,21.8,245.63,113.38,"Rainfed",3.165,"Pannar","John Deere",5.50839833149322
"Free State",600,18.15,192.76,365.28,"Rainfed",3.517,"Pioneer","New Holland",6.88881993072357
"Free State",744.2,20.82,198.4,213.14,"Irrigated",3.399,"Dekalb","New Holland",5.8804609926016
"Mpumalanga",810.2,22.85,117.44,231.04,"Rainfed",3.938,"Dekalb","John Deere",7.72781188520972
"Mpumalanga",666.7,24.15,274.74,264.81,"Rainfed",3.862,"Pioneer","John Deere",6.56922003653683
"North West",476,32.75,84.65,147.26,"Rainfed",3.482,"Dekalb","John Deere",3.49201965734022
"Free State",615.3,21.08,119.83,190.93,"Rainfed",4.015,"Dekalb","John Deere",6.71323882068923
"Free State",636.9,23.09,277.83,246.22,"Rainfed",3.704,"Dekalb","John Deere",7.05146808563944
"Mpumalanga",480.2,24.14,275.43,190.7,"Rainfed",3.673,"Pioneer","New Holland",6.15518029190726
"Mpumalanga",862.9,23.11,181.09,197.46,"Rainfed",3.525,"Pannar","John Deere",6.55072482476779
"Free State",363.5,24.01,202.59,164.59,"Rainfed",3.947,"Pannar","John Deere",3.83167568031509
"Free State",748.4,25.51,169.21,264.5,"Rainfed",3.611,"Dekalb","John Deere",6.84202544583453
"Free State",715.6,22.02,255.45,170.64,"Rainfed",3.616,"Pioneer","John Deere",6.30791396713462
"Free State",1031,22.53,256.28,212.91,"Rainfed",3.768,"Pioneer","John Deere",8.53254869939691
"Free State",601.9,24.45,314.64,216.91,"Rainfed",4.123,"Dekalb","Case",6.85802146624753
"Free State",583,24.93,249.1,111.33,"Rainfed",3.418,"Pannar","John Deere",5.40959571955132
"Free State",591.5,20.43,194.26,204.72,"Rainfed",3.766,"Pioneer","Case",6.93984291183813
"Free State",586.9,27.05,141.84,194.9,"Rainfed",3.507,"Pannar","Case",5.38004906160696
"Mpumalanga",905.3,22.13,217.87,202.52,"Rainfed",3.99,"Dekalb","John Deere",7.99552220455952
"Free State",730.6,21.28,171.64,148.11,"Rainfed",3.883,"Pannar","New Holland",6.50891750744324
"Free State",697.9,25.94,184.14,171.67,"Rainfed",3.417,"Pannar","John Deere",6.60434760304083
"Free State",484.5,26.46,207.49,104.55,"Rainfed",3.063,"Pannar","John Deere",5.29746487209882
"North West",237.4,25.3,187.69,185.94,"Rainfed",3.81,"Pannar","New Holland",3.28664100307066
"Mpumalanga",879.4,21.25,123.71,159.23,"Rainfed",4.18,"Pannar","Case",7.65063060658662
"Mpumalanga",656.9,21.17,218.58,146.94,"Rainfed",3.572,"Pioneer","Case",7.0359251320925
"North West",328.2,28.75,156.22,339.66,"Rainfed",3.739,"Pioneer","Case",3.96653126492017
"Free State",564,22.76,168.24,259.51,"Rainfed",3.738,"Dekalb","John Deere",6.24804173336097
"Free State",600.1,23.21,84.55,137.31,"Rainfed",3.534,"Pioneer","John Deere",5.38908526686355
"Mpumalanga",1364.6,22.16,164.04,227.66,"Rainfed",4.116,"Pioneer","John Deere",9.5342728592779
"Mpumalanga",567.2,23.05,204.61,258.7,"Rainfed",3.627,"Pioneer","New Holland",6.73525504768119
"Free State",515.7,19.47,230.06,193.31,"Rainfed",3.808,"Dekalb","New Holland",6.73133375582253
"Mpumalanga",1149.7,23.97,310.44,166.68,"Irrigated",3.976,"Pioneer","John Deere",8.87382480422507
"Mpumalanga",633.8,25.48,205.94,216.4,"Rainfed",3.71,"Pannar","John Deere",5.42064503815384
"Mpumalanga",813.8,20.24,179.22,166.13,"Rainfed",3.733,"Pannar","John Deere",6.4041048413528
"Free State",641.2,21.67,199.07,147.36,"Rainfed",3.739,"Dekalb","John Deere",5.42909199459291
"Free State",499.2,19.83,236.19,123.42,"Irrigated",3.948,"Pioneer","Case",6.28372662911534
"Free State",695.3,15.52,214.39,230.56,"Rainfed",3.954,"Pannar","New Holland",7.32216531551428
"Free State",407.3,23.34,202.77,226.88,"Rainfed",3.644,"Pioneer","John Deere",5.71037117022579
"Free State",405.1,22.66,190.64,200.31,"Rainfed",3.605,"Pannar","John Deere",5.58016538571691
"Free State",629.3,21.71,327.25,151.14,"Rainfed",3.734,"Dekalb","John Deere",8.07361101851496
"Free State",559.8,22.93,326.3,204.92,"Irrigated",3.391,"Pioneer","John Deere",6.88970247751021
"Mpumalanga",588.5,25.93,208.91,221.69,"Rainfed",3.42,"Pannar","New Holland",5.86015490985151
"Free State",489.8,23.18,237.44,201.33,"Rainfed",3.808,"Pioneer","John Deere",6.32456366787367
"Free State",553.3,20.46,78.13,232.84,"Rainfed",3.639,"Pannar","Case",3.90924776401176
"Mpumalanga",582.7,22.72,173.52,139.53,"Rainfed",3.522,"Dekalb","John Deere",6.21590462249891
"Mpumalanga",855.7,22.83,145.46,156.74,"Rainfed",3.859,"Pannar","John Deere",6.42750044367239
"Free State",336.7,24.1,292.85,207.17,"Rainfed",3.353,"Pioneer","John Deere",5.33422070903938
"Free State",765,18.34,202.45,186.53,"Rainfed",3.825,"Pannar","John Deere",7.30943061683346
"North West",492,27,143,271.73,"Rainfed",3.338,"Pioneer","New Holland",4.46164235819926
"North West",934.6,28.68,244,144.3,"Rainfed",3.599,"Dekalb","Case",6.61666798638165
"Free State",697,21.4,388.07,263.36,"Rainfed",3.903,"Pioneer","John Deere",8.61791819873938
"Free State",501.7,20.42,149.26,145.31,"Rainfed",3.491,"Pannar","John Deere",4.56599543396983
"Mpumalanga",757.5,22.94,174.57,174.51,"Rainfed",3.679,"Pannar","John Deere",5.98546578273359
"Free State",386.9,26.31,195.05,231.27,"Irrigated",3.558,"Pioneer","New Holland",5.88675126530134
"Free State",608.5,23.73,155.86,107.37,"Rainfed",3.386,"Pannar","John Deere",5.26336063479463
"North West",555.9,31,264.82,222.09,"Rainfed",4.01,"Pannar","John Deere",7.16400932202414
"Free State",608.7,22.5,146.6,166.64,"Rainfed",3.835,"Pioneer","New Holland",6.41636368021429
"Free State",453,23.94,175.93,180.7,"Rainfed",3.61,"Pannar","John Deere",5.50479686931004
"North West",498.2,25.85,124.91,191.5,"Rainfed",3.158,"Pannar","John Deere",4.18135658862057
"Mpumalanga",1212,22.88,249.95,236.74,"Rainfed",4.137,"Pioneer","John Deere",9.27447625543701
"Free State",547.5,20.81,174.36,165.84,"Rainfed",3.887,"Dekalb","John Deere",6.13061893598562
"Mpumalanga",951.9,19.87,144.12,139.28,"Rainfed",3.916,"Pioneer","Case",8.13672472863922
"Mpumalanga",1100.5,22.37,183.47,380.31,"Rainfed",3.956,"Dekalb","Case",10.4901560670841
"Free State",441,28.59,125.11,169.73,"Rainfed",3.347,"Pannar","John Deere",5.06280200655653
"Free State",614.4,24.46,122.25,163.96,"Rainfed",3.254,"Dekalb","New Holland",4.13091001585148
"Mpumalanga",1186.6,24.1,177.75,249.58,"Rainfed",3.915,"Dekalb","Case",8.40239556122627
"Mpumalanga",1124.6,22.74,125.45,174.55,"Rainfed",4.199,"Pannar","New Holland",7.25304236451336
"Mpumalanga",883.7,21.77,338.43,139.96,"Rainfed",3.891,"Pannar","Case",7.56556013559367
"North West",576.3,26.61,158.01,349.89,"Rainfed",3.323,"Pannar","New Holland",5.48326650526512
"Free State",390,22.14,188.7,310.63,"Rainfed",4.159,"Pioneer","John Deere",5.95723778684577
"Free State",753.1,20.1,203.55,176.33,"Rainfed",3.676,"Pannar","New Holland",7.47026794833718
"Free State",1018.1,22.56,239.79,356.68,"Rainfed",3.963,"Pioneer","John Deere",9.62109638820074
"Free State",398.4,19.33,179.47,169.22,"Rainfed",3.774,"Pannar","Case",5.5401099922251
"Free State",533,24.99,248.56,243.76,"Rainfed",3.535,"Dekalb","Case",6.45763162784393
"Free State",584.3,24.77,284.09,198.66,"Rainfed",3.699,"Pannar","John Deere",5.77503023313584
"North West",799.2,22.73,212.81,190.28,"Irrigated",3.665,"Pioneer","John Deere",7.3836224592841
"Free State",414.7,24.78,101.56,224.19,"Rainfed",3.492,"Pioneer","John Deere",4.85897847032996
"Free State",384.6,30.27,195,204.98,"Rainfed",3.679,"Dekalb","New Holland",5.84745359392183
"Mpumalanga",735.6,22.46,191.3,158.44,"Rainfed",3.896,"Dekalb","Case",7.41603630732819
"Free State",496.4,25.07,136.44,151.08,"Rainfed",3.445,"Dekalb","John Deere",5.17834390981481
"North West",260.1,26.13,175.63,274.62,"Rainfed",3.721,"Dekalb","John Deere",5.32226118140799
"Free State",690.7,25.09,275.78,144.93,"Rainfed",3.85,"Pioneer","Case",7.26253367997748
"Free State",539.5,23.11,190.74,235.17,"Rainfed",3.256,"Pioneer","Case",6.01295149673165
"Mpumalanga",863.6,26.37,140.92,218.33,"Rainfed",3.667,"Pioneer","New Holland",5.7363523043748
"North West",419.3,23.46,203.03,292.89,"Rainfed",3.855,"Pannar","John Deere",5.81958334312401
"Mpumalanga",920.1,22.73,147.86,194.87,"Rainfed",3.13,"Dekalb","John Deere",5.71749667793707
"Free State",443.1,21.16,201.08,137.49,"Rainfed",3.493,"Dekalb","Case",4.91661343201865
"Free State",678.4,21.21,210.64,187.99,"Rainfed",3.898,"Pioneer","John Deere",5.84231989206379
"Mpumalanga",626.7,22.75,340.62,103.87,"Rainfed",3.82,"Pioneer","John Deere",6.98512443301161
"Free State",451.4,20.21,168.57,127.73,"Rainfed",3.423,"Dekalb","John Deere",5.37057249202865
"Free State",673.5,23.56,255.63,220.12,"Rainfed",3.799,"Pioneer","John Deere",7.16861887247595
"North West",726.4,23.35,273.92,206.09,"Rainfed",3.578,"Dekalb","John Deere",7.51898246396877
"Free State",475.8,27.07,168.93,242.96,"Rainfed",3.3,"Dekalb","Case",4.24894467458744
"Free State",289.8,19.8,94.68,105.1,"Rainfed",3.06,"Pioneer","John Deere",3.30652767923918
"Mpumalanga",756.1,23.7,198.3,236.46,"Rainfed",3.868,"Dekalb","Case",7.00743105571465
"Free State",523.9,24.02,208.28,230.03,"Rainfed",3.644,"Pannar","John Deere",5.78078292759112
"Free State",655.2,23.66,224.08,171.59,"Rainfed",3.721,"Pannar","New Holland",6.3812463143782
"Free State",563,21.36,201.05,127.8,"Rainfed",3.974,"Pannar","New Holland",5.08125265024689
"Free State",581.6,22.43,175.47,254.78,"Rainfed",3.393,"Pannar","New Holland",5.16767011897489
"Free State",430.8,25.68,276.87,180.92,"Rainfed",3.456,"Pioneer","New Holland",5.62158300593925
"Free State",414.3,18.49,176.86,178.82,"Rainfed",3.453,"Pioneer","John Deere",5.98951518887363
"North West",404.2,25.56,172.1,166.54,"Rainfed",3.479,"Dekalb","New Holland",4.59928856629834
"Free State",501.1,23.47,219.74,145.82,"Rainfed",4.049,"Pannar","Case",6.74865164631826
"Free State",419.4,21.51,209.12,167.17,"Rainfed",3.81,"Pioneer","Case",6.67561864308662
"North West",432.8,31.9,362.87,273.1,"Rainfed",3.334,"Pioneer","John Deere",4.86408111765101
"Mpumalanga",738.4,24.91,320.06,274.53,"Rainfed",3.855,"Pioneer","John Deere",8.14893928640969
"Free State",632.8,22.2,278.04,246.6,"Rainfed",3.489,"Pioneer","John Deere",7.53704604916018
"Free State",614.8,17.54,211.11,137.64,"Rainfed",3.543,"Pioneer","John Deere",6.64323262114098
"North West",214.9,28.74,127.42,122.24,"Rainfed",3.479,"Dekalb","John Deere",3.45449282069988
"Free State",548.3,21.38,126.65,224.65,"Rainfed",3.818,"Pannar","John Deere",7.04448353580352
"Mpumalanga",610.5,23.87,137.67,195.86,"Rainfed",3.539,"Pannar","Case",6.0058967670134
"Free State",330.4,19.65,123.14,160.5,"Rainfed",3.158,"Pioneer","Case",4.23864576213694
"Mpumalanga",459.2,25.68,220.93,173.73,"Rainfed",3.66,"Dekalb","John Deere",5.86399568421824
"Free State",647.5,18.81,158.76,117.98,"Rainfed",3.78,"Dekalb","John Deere",6.47707531275179
"North West",436,27.1,168.47,234.38,"Rainfed",3.641,"Dekalb","John Deere",5.69721490753937
"Free State",760.4,22.62,324.8,144.69,"Rainfed",3.469,"Dekalb","John Deere",7.79701570380574
"Free State",473,20.28,202.88,151.63,"Rainfed",3.859,"Dekalb","Case",8.05657222527244
"Free State",425.8,24.56,180.46,103.78,"Rainfed",3.587,"Dekalb","New Holland",4.65915823614647
"Free State",765,17.51,154.92,423.87,"Rainfed",3.441,"Dekalb","John Deere",7.70678350070092
"North West",533.1,18.96,144.18,207.72,"Rainfed",3.645,"Dekalb","John Deere",5.03521022204826
"Free State",534.2,23.78,141.27,133.49,"Rainfed",3.595,"Dekalb","Case",5.98907140231625
"Mpumalanga",918.9,24.52,199.66,229.01,"Rainfed",3.955,"Pioneer","John Deere",7.27719479337645
"Mpumalanga",404.9,24.33,138.36,148.19,"Rainfed",3.179,"Dekalb","John Deere",3.79388934712694
"Free State",362,24.58,187,336.77,"Rainfed",3.694,"Pioneer","John Deere",4.66767617300051
"Free State",481.7,19.12,280.43,365.38,"Rainfed",3.69,"Pioneer","Case",7.01797022948452
"Free State",420,22.46,201.75,388.99,"Rainfed",3.634,"Pannar","Case",5.43184803621535
"Free State",380.7,17.17,142.09,139,"Rainfed",3.45,"Dekalb","New Holland",5.06472356989754
"Free State",602.7,25.65,130.68,224.46,"Rainfed",3.494,"Pannar","John Deere",4.44563989775528
"North West",353.2,33.68,189.7,391.58,"Rainfed",3.317,"Pioneer","John Deere",3.28326001840523
